"LkupReferenceID","FdReferenceName","FdCitationDescription"
"565","Hand, C.M. and L.J. Richards. 1991.","Purse-seine surveys of post-larval lingcod (Ophiodon elongatus) in the Strait of Georgia, 1989-90. Canadian Manuscript Report of Fisheries and Aquatic Sciences No 2106, 23 p."
"566","Hardy, J., S. Kiesser, L. Antrim, A. Stubin, R. Kocan, and J. Strand. 1987.","The sea-surface microlayer of Puget Sound: Part I. toxic effects on fish eggs and larvae. Marine Environmental Research 23:227-249."
"568","Hargis Jr., W.J. 1953.","A new species of Benedenia (Trematoda: Monogenea) from Girella nigricans, the opaleye. Journal of Parasitology 41:48-50."
"569","Harper, R.D. and J.F. Case. 1999.","Disruptive counterillumination and its anti-predatory value in the plainfin midshipman Porichthys notatus. Marine Biology 134:529-540."
"570","Harris, L.G., A.W. Ebeling, D.R. Laur, and R.J. Rowley. 1984.","Community recovery after storm damage: A case of facilitation in primary succession. Science 224:1336-1338."
"571","Harry, G.Y. 1959.","Time of spawning, length at maturity, and fecundity of the English, petrale, and dover soles (Parophrys vetulus, Eopsetta jordani, and Mircrostomus pacificus, respectively). Fisheries Commission of Oregon, Research Briefs 7(1):5-13."
"572","Hart, J.L. 1939.","Preliminary report on ling cod tagging. Fisheries Research Board of Canada, Progress Reports of the Pacific Coast Stations 42:20-21."
"573","Hart, J.L. 1940.","Growth in ling cod. Fisheries Research Board of Canada, Progress Reports of the Pacific Coast Stations 44:14-15."
"574","Hart, J.L. 1943a.","Rate of growth in lingcod. Fisheries Research Board of Canada, Progress Reports of the Pacific Coast Stations 56:10-11."
"575","Hart, J.L. 1943b.","Migration of lingcod. Fisheries Research Board of Canada, Progress Reports of the Pacific Coast Stations 57:3-7."
"576","Hart, J.L. 1967.","Fecundity and length-weight relationship in lingcod. Journal of the Fisheries Research Board of Canada 24:2485-2489."
"577","Hart, J.L. 1973.","Pacific Fishes of Canada. Fisheries Research Board of Canada Bulletin 180, 740 p."
"578","Hart, J.L. and J.L. McHugh. 1944.","The smelts (Osmeridae) of British Columbia. Fisheries Research Board of Canada Bulletin No. 64, 27 p."
"579","Hartmann, A.R. 1987.","Movement of scorpionfishes (Scorpaenidae: Sebastes and Scorpaena) in the Southern California Bight. California Department of Fish and Game 73(2):68-79."
"580","Hartney, K.B. 1989.","The foraging ecology of two sympatric gobiid fishes: importance of behavior in prey type selection. Environmental Biology of Fishes 26:105-118."
"581","Hartney, K.B. 1996.","Site fidelity and homing behavior of some kelp-bed fishes. Journal of Fish Biology 49:1062-1069."
"582","Harvey, T.E. 1982.","The ecology of three larids breeding in the Elkhorn Slough salt ponds, California. M.A. Thesis, San Francisco State University. 108 p."
"583","Hastings, P.A. 1989.","Protogynous hermaphroditism in Paralabrax maculatofasciatus (Pisces: Serranidae). Copeia 1989(1):184-188."
"584","Haugen, C.W. 1992.","Starry flounder. In: W.S. Leet, C.M. Dewees, and C.W. Haugen (Editors), California's living marine resources and their utilization, p. 103-104. California Sea Grant Extension Program, Department of Wildlife and Fisheries Biology, University of California, Davis, California Sea Grant Extension Publication UCSGEP-92-12."
"585","Hawes, S.D. 1983.","An evaluation of California sea lion scat samples as indicators of prey importance. Master of Arts, San Francisco State University. 50 p."
"586","Hay, D. 1998.","Historic changes in capelin and eulachon populations in the Strait of Georgia. Fisheries Centre Research Reports 6(5):42-44."
"587","Hay, D.E., J. Boutillier, M. Joyce, and G. Langford. 1997.","The eulachon (Thaleichthys pacificus) as an indicator species in the north Pacific. Forage Fishes in Marine Ecosystems, American Fisheries Society, p. 509-530. Lowell Wakefield Fisheries Symposium Series No. 14."
"589","Hearne, M.E. 1983.","Identification of larval and juvenile smelts (Osmeridae) from California and Oregon using selected morphometric characters. M.A. Thesis, San Francisco State University. 142 p."
"590","Hedgcock, D. and D.M. Bartley. 1988.","Allozyme variation in the California halibut, Paralichthys califonicus. California Department of Fish and Game 74(2):119-127."
"591","Heilprin, D.J. 1992.","The role of olfaction in the homing ability of the blue rockfish, Sebastes mystinus, in Carmel Bay, California. M.S. Thesis, San Jose State University. 63 p."
"592","Heimann, R.F.G. 1960.","English Sole. In: California ocean fisheries resources to the year 1960, p. 57-58. California Department of Fish and Game. 79 p."
"593","Helm, R.C. 1990.","Population dynamics of an intertidal eel blenny, Cebidichthys violaceus: Diet, growth, homing, and avian predation. Ph.D. Thesis, University of California, Davis. 131 p."
"594","Helvey, M. 1982.","First observations of courtship behavior in rockfish, Genus Sebastes. Copeia 1982(4):765-770."
"595","Helvey, M. 1985.","Behavioral factors influencing fish entrapment at offshore cooling-water intake structures in southern California. Marine Fisheries Review 47(1):18-26."
"596","Helvey, M. and J.F. Witzig. 1990.","An analysis of the California halibut, Paralichthys californicus, recreational fishery, 1980-1987. California Department of Fish and Game, Fish Bulletin 174:359-372."
"597","Hendricks, L.J. 1961.","The striped mullet, Mugil cephalus Linnaeus. California Department of Fish and Game, Fish Bulletin 113:95-103."
"598","Henriques, D. 1991.","Prey capture and buccal cavity prssure in the kelp greenling: fixed or flexible response to varying prey type? American Zoologist 31(5):18A."
"599","Herald, E.S. and W.E. Ripley. 1951.","The relative abundance of sharks and bat stingrays in San Francisco Bay. California Department of Fish and Game 37:315-329."
"600","Hiatt, R.W. 1944.","Food chains and the food cycle in Hawaiian fish pongs-Part I. the food and feeding habits of mullet (Mugil cephalus), milkfish (Chanos chanos), and the ten-pounder (Elops machata). Transactions of the American Fishery Society 74:250-261."
"601","Hilaski, R. 1972.","Stomach contents of flatfish: an investigation of the stomach contents of six flatfish species taken offshore from the Pajaro River in Monterey Bay, California. M.A. Thesis, California State University Fresno. 47 p."
"602","Hill, J.P. and G.L. Hendrickson. 1991.","Haematozoa of fishes in Humboldt Bay, California. Journal of Wildlife Diseases 27(4):701-705."
"603","Hisaw, F.L. and A. Albert. 1947.","Observations on the reproduction of the spiny dogfish, Squalus acanthias. Biological Bulletin, Woods Hole 92:187-199."
"604","Hitz, C.R. and A.C. DeLacy. 1960.","Reproduction and fecundity of rockfish (Sebastodes). Contribution University of Washington, College of Fisheries 77:24."
"605","Hitz, C.R. and A.C. DeLacy. 1965","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"606","Hitz, C.R. 1962.","Seasons of birth of rockfish (Sebastodes) in Oregon coastal waters. Transactions of the American Fisheries Society 91:231-233."
"607","Hixon, M.A. 1980.","Competitive interactions between California reef fishes of the genus Embiotoca. Ecology 61(4):918-931."
"608","Hixon, M.A. 1981.","An experimental analysis of territoriality in the reef fish Embiotoca jacksoni (Embiotocidae). Copeia 3(1981):653-665."
"609","Hobson, E.S. and J.R. Chess. 1976.","Trophic interactions among fishes and zooplankters near shore at Santa Catalina Island, California. Fishery Bulletin 74(3):567-598."
"610","Hobson, E.S. and J.R. Chess. 1986.","Relationships among fishes and their prey in a nearshore sand community off southern California. Environmental Biology of Fishes 17(3):201-226."
"611","Hobson, E.S. and J.R. Chess. 1988.","Trophic relations of the blue rockfish, Sebastes mystinus, in a coastal upwelling system off northern California. Fishery Bulletin 86(4):715-743."
"612","Hobson, E.S. 1971.","Cleaning symbiosis among California inshore fishes. Fishery Bulletin 63(3):491-523."
"613","Hobson, E.S. 1994.","Ecological relations in the evolution of acanthopterygian fishes in warm-temperate communities of the northeastern Pacific. Environmental Biology of Fishes 40:49-90."
"615","Hobson, E.S., W.N. McFarland, and J.R. Chess. 1981.","Crepuscular and nocturnal activities of Californian nearshore fishes, with consideration of their scotopic visual pigments and the photic environment. Fishery Bulletin 79(1):1-17."
"617","Hobson, E.S., J.R. Chess, and D.F. Howard. 1996.","Zooplankters consumed by blue rockfish durong breif access to a current off California's Sonoma coast. California Department of Fish and Game 82(2):87-92."
"619","Hoelzer, G. 1987.","The effect of early experience on aggression in two territorial scorpaenid fishes. Environmental Biology of Fishes 19(3):183-194."
"620","Hoelzer, G.A. 1988.","Juvenile movement patterns in a territorial scorpaenid fish before and during settlement. Marine Ecology Progress Series 45:193-195."
"621","Hoffman, R.S. 1986.","Fishery utilization of eelgrass (Zostera marina) beds and non-vegetated shallow water areas in San Diego Bay. NOAA/NMFS, Southwest Region, Administrative Report, 29 p."
"622","Holbrook, S.J. and R.J. Schmitt. 1984.","Experimental analyses of path selection by foraging black surfperch (Embiotoca jacksoni Agazzi). Journal of Experimental Marine Biology and Ecology 79:39-64."
"626","Holbrook, S.J. and R.J. Schmitt. 1988b.","The combined effects of predation risk and food reward on patch selection. Ecology 69(1):125-134."
"627","Holbrook, S.J. and R.J. Schmitt. 1988a.","Effects of predation risk on foraging behavior: mechanisms altering patch choice. Journal of Experimental Marine Biology and Ecology 121:151-163."
"629","Holbrook, S.J. and R.J. Schmitt. 1989.","Resource overlap, prey dynamics, and the strength of competition. Ecology 70(6):1943-1953."
"630","Holbrook, S.J. and R.J. Schmitt. 1992.","Causes and consequences of dietary specialization in surfperches: patch choice and intraspecific competition. Ecology 73(2):402-412."
"631","Holbrook, S.J. and R.J. Schmitt. 1995.","Compensation in resource use by foragers released from interspecific competition. Journal of Experimental Marine Biology and Ecology 185:219-233."
"632","Holbrook, S.J., R.J. Schmitt, and J.A. Coyer. 1985.","Age-related patterns of sympatric adult surfperch. Copeia 1985(4):986-994."
"633","Holbrook et al. 1990","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"634","Holbrook, S.J., M.J. Kingsford, R.J. Schmitt, and J.S. Stephens Jr. 1994.","Spatial and temporal patterns in assemblages of temperate reef fish. American Zoologist 34:463-475."
"635","Holbrook, S.J., R.J. Schmitt, and J.S. Stephens Jr. 1997.","Changes in an assemblage of temperate reef fishes associated with a climate shift. Ecological Applications 7(4):1299-1310."
"636","Holbrook, S.J., M.H. Carr, R.J. Schmitt, and J.A. Coyer. 1990.","Effect of giant kelp on local abundance of reef fishes: The importance of ontogenetic resource requirements. Bulletin of Marine Science 47(1):104-114."
"640","Holbrook, S.J., R.J. Schmitt, and R.F. Ambrose. 1990.","Biogenic habitat structure and characteristics of temperate reef fish assemblages. Australian Journal of Ecology 15:489-503."
"641","Holden, M.J. 1966.","The food of the spurdog, Squalus acanthias (L.). Journal de Conseil 30(2):255-266."
"642","Holden, M.J. and P.S. Meadows. 1962.","The structure of the spine of the spur dogfish (Squalus acanthias L.) and its use for age determination. Journal of the Marine Biological Association U.K. 42:179-197."
"643","Holder, C.F. 1907.","The nest of the kelpfish. American Naturalist 41:587-588."
"644","Holladay, B.A. and B.L. Norcross. 1995.","Diet diversity as a mechanism for partitioning nursery grounds of pleuronectids. Proceedings of the International Symposium of North Pacific Flatfish, p. 177-203. Alaska Sea Grant College Program, Fairbanks, Alaska."
"645","Holland, G.A. 1957.","Migration and growth of the dogfish shark, Squalus acanthias (Linnaeus), of the eastern north Pacific. Washington Department of Fisheries, Fisheries Research Paper 2(1):43-59."
"646","Holland, G.A. 1969.","Age, growth, and mortality of races of English sole (Parophrys vetulus) in Puget Sound, Washington. Pacific Marine Fisheries Commission Bulletin 7:35-50."
"647","Holts, D.B. 1988.","Review of U.S. west coast commercial shark fisheries. Marine Fisheries Review 50(1):1-7"
"650","Hopkins, T.E. 1993.","The physiological ecology of bat rays, Myliobatis californica, in Tomales Bay, California. Ph.D. Thesis, University of California, Davis. 104 p."
"651","Horn, M.H. and M.A. Neighbors. 1984.","Protein and nitrogen assimilation as a factor in predicting the seasonal macroalgal diet of the monkeyface prickleback. Transactions of the American Fisheries Society 113:388-396."
"652","Horn, M.H. and C. Riegle. 1981.","Evaporative water loss and intertidal vertical distribution in relation to body size and morphology of stichaeoid fishes from California. Journal of Experimental Marine Biology and Ecology 50:273-288."
"653","Horn, M.H. 1970.","Systematics and biology of the stromateid fishes of the genus Peprilus. Bulletin of the Museum of Comparative Zoology 140(5):165-262."
"654","Horn, M.H. 1980.","Diel and seasonal variation in abundance and diversity of shallow-water fish populations in Morro Bay, California. Fishery Bulletin 78(3):759-770."
